protocol,dst.port,frame.encap.type,sll.halen,tcp.hdr_len,tcp.flags.fin,tcp.flags.syn,tcp.flags.reset,tcp.flags.push,tcp.flags.ack,tcp.flags.urg,udp.length,udp.stream,window,ip.flags.df,Nop,wscale,wscale_multiplier,sack_permited,maximum_segment_size,class
0.3125,0.001909096462826,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156252384222171,0.0,0.0,0.0,0.0,0.0,0.0,masscan
0.3125,0.0067811106359582,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156252384222171,0.0,0.0,0.0,0.0,0.0,0.0,masscan
0.3125,0.0005650925529965,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156252384222171,0.0,0.0,0.0,0.0,0.0,0.0,masscan
0.3125,0.0157004093102816,0.0,0.0,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nessus
0.3125,0.0001069094019182,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156252384222171,0.0,0.0,0.0,0.0,0.0,0.0,masscan
0.3125,0.0008094569002382,0.0,0.0,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nessus
0.3125,0.0012218217362086,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9734950789654384,0.0,0.0,0.0,0.0,0.0,0.0,niktoScan
0.3125,0.0021229152666625,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156252384222171,0.0,0.0,0.0,0.0,0.0,0.0,masscan
0.3125,0.0083694788930295,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0183108262760357,0.0,0.0,0.0,0.0,0.0,0.0,masscan
0.3125,0.0012981855947217,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156252384222171,0.0,0.0,0.0,0.0,0.0,0.0,masscan
0.3125,0.0016952776589895,0.0,0.0,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nessus
0.3125,0.0015120043985582,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156252384222171,0.0,0.0,0.0,0.0,0.0,0.0,masscan
0.3125,0.0012523672796139,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156252384222171,0.0,0.0,0.0,0.0,0.0,0.0,masscan
0.3125,0.0002596371189443,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0183108262760357,0.0,0.0,0.0,0.0,0.0,0.0,masscan
0.3125,0.0010690940191826,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156252384222171,0.0,0.0,0.0,0.0,0.0,0.0,masscan
0.3125,0.0003665465208626,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156252384222171,0.0,0.0,0.0,0.0,0.0,0.0,masscan
0.3125,9.163663021565152e-05,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156252384222171,0.0,0.0,0.0,0.0,0.0,0.0,masscan
0.3125,0.0012218217362086,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9735255970092316,0.0,0.0,0.0,0.0,0.0,0.0,niktoScan
0.3125,0.0055898344431547,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156252384222171,0.0,0.0,0.0,0.0,0.0,0.0,masscan
0.3125,0.0030392815688191,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156252384222171,0.0,0.0,0.0,0.0,0.0,0.0,masscan
0.3125,0.0039098295558677,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156252384222171,0.0,0.0,0.0,0.0,0.0,0.0,masscan
0.3125,0.0064909279736086,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156252384222171,0.0,0.0,0.0,0.0,0.0,0.0,masscan
0.3125,0.0040320117294886,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156252384222171,0.0,0.0,0.0,0.0,0.0,0.0,masscan
0.3125,0.0051927423788869,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156252384222171,0.0,0.0,0.0,0.0,0.0,0.0,masscan
0.3125,0.0006414564115095,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156252384222171,0.0,0.0,0.0,0.0,0.0,0.0,masscan
0.3125,0.0078196591117355,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156252384222171,0.0,0.0,0.0,0.0,0.0,0.0,masscan
0.3125,0.0094233001405094,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156252384222171,0.0,0.0,0.0,0.0,0.0,0.0,masscan
0.3125,0.0045971042824851,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156252384222171,0.0,0.0,0.0,0.0,0.0,0.0,masscan
0.3125,0.0069949294397947,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156252384222171,0.0,0.0,0.0,0.0,0.0,0.0,masscan
0.3125,0.5666198301667786,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.980239566643778,0.0,0.0,0.0,0.0,0.0,0.0,nessus
0.3125,0.0042763760767304,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156252384222171,0.0,0.0,0.0,0.0,0.0,0.0,masscan
0.3125,0.0002901826623495,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156252384222171,0.0,0.0,0.0,0.0,0.0,0.0,masscan
0.3125,0.0027338261347669,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156252384222171,0.0,0.0,0.0,0.0,0.0,0.0,masscan
0.3125,0.0004581831510782,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156252384222171,0.0,0.0,0.0,0.0,0.0,0.0,masscan
1.0,0.0259789846661372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0589887640449438,0.2957198443579766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nessus
0.3125,0.0003207282057547,0.0,0.0,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nessus
0.3125,0.0305455434052171,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.980239566643778,0.0,0.0,0.0,0.0,0.0,0.0,nessus
0.3125,0.001206548964506,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156252384222171,0.0,0.0,0.0,0.0,0.0,0.0,masscan
0.3125,0.0078654774268434,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156252384222171,0.0,0.0,0.0,0.0,0.0,0.0,masscan
0.3125,0.0012218217362086,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9734645609216448,0.0,0.0,0.0,0.0,0.0,0.0,niktoScan
0.3125,0.043817582014784,0.0,0.0,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nessus
